race_id,election_date,office,jurisdiction,candidate_name,role,documented_topics,policy_statements,campaign_frames,other_or_unspecified_statements,evidence,interpretation_limit
race-48b209f7fa641f4b280d,2026-08-11,Governor,Wisconsin,Kelda Roys,opponent,campaign_strategy_and_framing | education | housing | labor | technology,5,2,0,"[{""excerpt_id"": ""wi26-roys-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports development incentives, local zoning changes and more flexible funding to increase housing supply quickly."", ""quote"": ""make zoning changes"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/wisconsins-2026-governor-candidates-on-the-cost-of-housing-rxmiyw/"", ""locator"": ""paragraph 78"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-roys-data"", ""topic"": ""technology"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for statewide coordination, transparency, community voice and scrutiny of land, water and ratepayer effects."", ""quote"": ""statewide strategy"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/data-centers-and-wisconsins-2026-candidates-for-governor-erbniy/"", ""locator"": ""paragraph 70"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-roys-schools"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Advocates more resources plus professional development, retention and respect for teachers."", ""quote"": ""teacher retention"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 63"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-roys-vouchers"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Explicitly calls for responsibly closing the voucher system and directing public dollars to public schools."", ""quote"": ""responsible close"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 95"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-roys-priorities"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Names wages, rights, healthcare costs and schools, with state health-insurance and pension buy-in as signature proposals."", ""quote"": ""buy in"", ""source_url"": ""https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/"", ""locator"": ""paragraph 77"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-roys-bipartisan"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Emphasizes a record of cooperation on criminal justice, reproductive-health legislation and rural healthcare. These are her stated examples, not an independent vote audit."", ""quote"": ""across the political spectrum"", ""source_url"": ""https://pbswisconsin.org/watch/how-wisconsin-s-2026-governor-candidates-view-bipartisanship/how-wisconsins-2026-governor-candidates-view-bipartisanship-pw3vgb/"", ""locator"": ""paragraph 65"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""ex-hd-29-kelda-roys"", ""topic"": ""labor"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-attributed retained text; prompts, navigation, reporter narration, and neighboring candidates are excluded. | Quote occurs in the retained candidate-associated campaign-authored platform or statement at paragraph 26; navigation, prompts, reporter narration, endorsement text, and other candidates are excluded."", ""quote"": ""restore the rights of workers to collectively bargain"", ""source_url"": ""https://www.keldaroys.com/issues"", ""locator"": ""paragraph 26"", ""source_type"": ""campaign_page"", ""timing"": ""pre_primary_time_unverified""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-48b209f7fa641f4b280d,2026-08-11,Governor,Wisconsin,Mandela Barnes,opponent,campaign_strategy_and_framing | education | housing | technology,4,2,0,"[{""excerpt_id"": ""wi26-barnes-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Prioritizes restrictions on corporate concentration in property ownership as a way to protect renters and prospective homebuyers. His asserted market effects remain candidate claims."", ""quote"": ""corporate monopolies"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/wisconsins-2026-governor-candidates-on-the-cost-of-housing-rxmiyw/"", ""locator"": ""paragraph 64"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-barnes-data"", ""topic"": ""technology"", ""kind"": ""policy_position"", ""claim_summary"": ""Conditions projects on community-benefit agreements, local hiring, rate protection, community input and water safeguards, rejecting construction amid mass local opposition."", ""quote"": ""community benefits agreement"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/data-centers-and-wisconsins-2026-candidates-for-governor-erbniy/"", ""locator"": ""paragraph 72"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-barnes-schools"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Emphasizes food, housing and mental/physical healthcare alongside educational investment so students arrive ready to learn."", ""quote"": ""whole child"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 75"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-barnes-vouchers"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Requires public accountability and consistent rules for any publicly funded school; this answer does not specify expansion or abolition."", ""quote"": ""public accountability"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 83"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-barnes-priorities"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Makes Medicaid/BadgerCare expansion the first priority and says he would refuse a budget without it if expansion were not already achieved."", ""quote"": ""BadgerCare expansion"", ""source_url"": ""https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/"", ""locator"": ""paragraph 73"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-barnes-bipartisan"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Describes work outside office with a bipartisan democracy-reform group to strengthen confidence in elections."", ""quote"": ""bipartisan group"", ""source_url"": ""https://pbswisconsin.org/watch/how-wisconsin-s-2026-governor-candidates-view-bipartisanship/how-wisconsins-2026-governor-candidates-view-bipartisanship-pw3vgb/"", ""locator"": ""paragraph 69"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-48b209f7fa641f4b280d,2026-08-11,Governor,Wisconsin,Sara Rodriguez,opponent,campaign_strategy_and_framing | education | housing | technology,4,2,0,"[{""excerpt_id"": ""wi26-rodriguez-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Proposes aligning legislation, administrative rules and funding through a statewide housing plan and a responsible coordinator, including starter-home supply."", ""quote"": ""three-legged stool"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/wisconsins-2026-governor-candidates-on-the-cost-of-housing-rxmiyw/"", ""locator"": ""paragraph 66"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-rodriguez-data"", ""topic"": ""technology"", ""kind"": ""policy_position"", ""claim_summary"": ""Wants host-community acceptance and contractual requirements making data centers pay their energy costs and invest particularly in renewable energy."", ""quote"": ""bearing those costs"", ""source_url"": ""https://pbswisconsin.org/watch/here-and-now/data-centers-and-wisconsins-2026-candidates-for-governor-erbniy/"", ""locator"": ""paragraph 76"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-rodriguez-schools"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports greater public-school funding and reform rather than relying on recurring local operating referenda; does not specify Hong's reimbursement percentage."", ""quote"": ""more dollars"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 71"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-rodriguez-vouchers"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for reform toward the program's low-income purpose and objects to funding two separate school systems. Her description of present income limits is not independently verified legal guidance."", ""quote"": ""low-income families"", ""source_url"": ""https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/"", ""locator"": ""paragraph 87"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-rodriguez-priorities"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Prioritizes healthcare affordability and treating childcare as infrastructure, looking to other states' subsidy programs."", ""quote"": ""health care costs"", ""source_url"": ""https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/"", ""locator"": ""paragraph 63"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""wi26-rodriguez-bipartisan"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Emphasizes experience representing a competitive district and starting with popular measures on schools and healthcare."", ""quote"": ""work with anybody"", ""source_url"": ""https://pbswisconsin.org/watch/how-wisconsin-s-2026-governor-candidates-view-bipartisanship/how-wisconsins-2026-governor-candidates-view-bipartisanship-pw3vgb/"", ""locator"": ""paragraph 79"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4999db34a0dac2410460,2026-03-17,State Senate,District 24,"Benjamin ""Ben"" McAdams",endorsed,healthcare,1,0,0,"[{""excerpt_id"": ""exc-hist-c-30-025"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-controlled platform."", ""quote"": ""build towards a universal healthcare system by creating more public healthcare options"", ""source_url"": ""https://www.mcadamsforil.com/platform"", ""locator"": ""paragraph 51"", ""source_type"": ""official campaign platform"", ""timing"": ""pre_primary_time_unverified""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4a19411701e40165da88,2022-09-06,State Representative,4th Barnstable District,Jack Stanton,endorsed,campaign_strategy_and_framing,0,1,0,"[{""excerpt_id"": ""ma22-stanton-governing"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Argues that Democratic legislative power should deliver popular proposals rather than letting them die each session."", ""quote"": ""We have all the power to enact the things that we should be able to enact"", ""source_url"": ""https://provincetownindependent.org/featured/2022/08/17/26311"", ""locator"": ""paragraph 60"", ""source_type"": ""candidate_interview"", ""timing"": ""pre_primary_time_unverified""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4a19411701e40165da88,2022-09-06,State Representative,4th Barnstable District,Sarah K. Peake,opponent,campaign_strategy_and_framing | healthcare | housing,3,1,0,"[{""excerpt_id"": ""ma22-peake-governing"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Argues for detailed legislative work and relationships to advance proposals, using the healthcare bill as an example."", ""quote"": ""come into the building and sharpen your pencil and go to work"", ""source_url"": ""https://provincetownindependent.org/featured/2022/08/17/26311"", ""locator"": ""paragraph 65"", ""source_type"": ""candidate_interview"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""ma22-peake-health"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Says the then-current single-payer bill needs more work and Medicare waivers. This is not recast as opposition to all universal healthcare, and the legal feasibility claim is not independently verified."", ""quote"": ""is not ready for prime time yet"", ""source_url"": ""https://provincetownindependent.org/featured/2022/08/17/26311"", ""locator"": ""paragraph 65"", ""source_type"": ""candidate_interview"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""ma22-peake-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Advocates thinking at larger housing scale and says wastewater improvements can enable denser development."", ""quote"": ""30, 40 units at a time"", ""source_url"": ""https://provincetownindependent.org/featured/2022/08/17/26311"", ""locator"": ""paragraph 79"", ""source_type"": ""candidate_interview"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""ma22-peake-state-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Expresses concern about state-directed local housing decisions. The article's separate paraphrase of Stanton's public-building proposal is not converted into an invented literal quotation."", ""quote"": ""some bureaucrat in Boston making a decision about what housing Truro needs"", ""source_url"": ""https://provincetownindependent.org/featured/2022/08/17/26311"", ""locator"": ""paragraph 75"", ""source_type"": ""candidate_interview"", ""timing"": ""pre_primary_time_unverified""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4add975df09b0b0aaa6d,2022-08-02,US House,Missouri District 1,Cori Bush,endorsed,campaign_strategy_and_framing | housing,1,2,0,"[{""excerpt_id"": ""ex-hd-17-cori-bush"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Candidate-attributed retained text; prompts, navigation, reporter narration, and neighboring candidates are excluded. | Quote occurs in the retained candidate-associated candidate campaign framing at paragraph 32; navigation, prompts, reporter narration, endorsement text, and other candidates are excluded."", ""quote"": ""Defend Democracy and Fight Fascism"", ""source_url"": ""https://coribush.org/issues"", ""locator"": ""paragraph 32"", ""source_type"": ""policy_page"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo22-bush-strategy"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Presents Capitol-step activism to extend the eviction moratorium as part of her congressional work, not as a substitute for all legislation."", ""quote"": ""the activist also on the ground even at the U.S. Capitol"", ""source_url"": ""https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change"", ""locator"": ""paragraph 282"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo22-bush-eviction"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Describes campaigning for an extension of the eviction moratorium through direct action. Her account of its effect is attributed rather than independently certified."", ""quote"": ""get an extension to the eviction moratorium"", ""source_url"": ""https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change"", ""locator"": ""paragraph 282"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4add975df09b0b0aaa6d,2022-08-02,US House,Missouri District 1,Steve Roberts,opponent,campaign_strategy_and_framing,0,2,0,"[{""excerpt_id"": ""mo22-roberts-strategy"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Contrasts institutional legislative work with street activism while explicitly acknowledging shared passions and Bush's ability to draw attention to issues."", ""quote"": ""The work of a legislator is done in the Capitol building"", ""source_url"": ""https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change"", ""locator"": ""paragraph 297"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo22-roberts-cooperation"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Argues for cross-party cooperation and bringing resources to St. Louis rather than withholding support whenever a bill lacks every desired provision."", ""quote"": ""work with folks on both sides of the aisle"", ""source_url"": ""https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change"", ""locator"": ""paragraph 295"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4bb8173fd4fdca0b2d3f,2024-08-06,US House,District 1,Cori Bush,endorsed,campaign_strategy_and_framing | foreign_policy | healthcare | justice_and_public_safety,6,1,0,"[{""excerpt_id"": ""mo24-bush-safety"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Proposes redirecting militarized-equipment spending to social services, not cutting police pensions or denying pay raises."", ""quote"": ""Put that money into our social safety net"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-15/bush-says-her-gaza-cease-fire-push-is-resonating-with-missouris-1st-district-voters"", ""locator"": ""paragraph 298"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-bush-peace"", ""topic"": ""foreign_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for safety, liberation, and freedom for both Israelis and Palestinians; this quote alone does not specify every aid condition."", ""quote"": ""safety for Israelis and Palestinians"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-15/bush-says-her-gaza-cease-fire-push-is-resonating-with-missouris-1st-district-voters"", ""locator"": ""paragraph 267"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-bush-legislative-frame"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Presents legislative wins despite internal and cross-party tensions as evidence of effectiveness."", ""quote"": ""we did have wins"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-15/bush-says-her-gaza-cease-fire-push-is-resonating-with-missouris-1st-district-voters"", ""locator"": ""paragraph 282"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""fed24-bush-medicare"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports a universal single-payer system; the retained snapshot is from the day after the primary."", ""quote"": ""pass Medicare for All"", ""source_url"": ""https://web.archive.org/web/20240803202201id_/https://coribush.org/issue/medicare-for-all/"", ""locator"": ""paragraph 21"", ""source_type"": ""archived_campaign_platform"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""fed24-bush-drug-prices"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports Medicare drug-price negotiation, an insulin-price cap, and action against drug monopolies."", ""quote"": ""allow Medicare to negotiate prescription drugs"", ""source_url"": ""https://web.archive.org/web/20240803202201id_/https://coribush.org/issue/medicare-for-all/"", ""locator"": ""paragraph 30"", ""source_type"": ""archived_campaign_platform"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""fed24-bush-safety-net"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Opposes privatization or block-grant approaches that would undermine Medicare, Medicaid, and CHIP."", ""quote"": ""preservation of these programs"", ""source_url"": ""https://web.archive.org/web/20240803202201id_/https://coribush.org/issue/medicare-for-all/"", ""locator"": ""paragraph 31"", ""source_type"": ""archived_campaign_platform"", ""timing"": ""pre_primary_time_unverified""}, {""excerpt_id"": ""fed24-bush-hyde"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports repealing the Hyde Amendment restriction on federal abortion funding."", ""quote"": ""repeal this ban"", ""source_url"": ""https://web.archive.org/web/20240803202201id_/https://coribush.org/issue/medicare-for-all/"", ""locator"": ""paragraph 33"", ""source_type"": ""archived_campaign_platform"", ""timing"": ""pre_primary_time_unverified""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4bb8173fd4fdca0b2d3f,2024-08-06,US House,District 1,Maria Chappelle-Nadal,opponent,campaign_strategy_and_framing | foreign_policy | housing,2,1,0,"[{""excerpt_id"": ""mo24-chappelle-two-state"", ""topic"": ""foreign_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Explicitly favors a two-state solution; no position on every specific aid condition is imputed."", ""quote"": ""a two-state solution"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-29/maria-chappelle-nadal-missouri-first-congressional-primary"", ""locator"": ""paragraph 273"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-chappelle-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for development in the context of vacant and rundown housing; detailed financing mechanisms are not established by this quotation."", ""quote"": ""I want development"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-29/maria-chappelle-nadal-missouri-first-congressional-primary"", ""locator"": ""paragraph 281"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-chappelle-legislative-frame"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Presents legislative vote-counting and issue expertise as the route to passing radiation-exposure compensation."", ""quote"": ""be able to count numbers"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-29/maria-chappelle-nadal-missouri-first-congressional-primary"", ""locator"": ""paragraph 283"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4bb8173fd4fdca0b2d3f,2024-08-06,US House,District 1,Wesley Bell,opponent,campaign_strategy_and_framing | foreign_policy | justice_and_public_safety,2,1,0,"[{""excerpt_id"": ""mo24-bell-diversion"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Describes nonprosecution conditional on good-faith participation in diversion programs, and discusses expanding federal support."", ""quote"": ""we won't prosecute you"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-01/bell-backs-israel-abortion-rights-and-radiation-victims-in-challenge-of-incumbent-bush"", ""locator"": ""paragraph 282"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-bell-coalition"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Emphasizes working within his caucus and across the aisle to pass radiation-compensation legislation."", ""quote"": ""coalition building"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-01/bell-backs-israel-abortion-rights-and-radiation-victims-in-challenge-of-incumbent-bush"", ""locator"": ""paragraph 277"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""mo24-bell-allies"", ""topic"": ""foreign_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Couples a call for peaceful resolution with support for allies; this does not prove support for every weapons transfer."", ""quote"": ""we do have to stand by our allies"", ""source_url"": ""https://www.stlpr.org/show/st-louis-on-the-air/2024-07-01/bell-backs-israel-abortion-rights-and-radiation-victims-in-challenge-of-incumbent-bush"", ""locator"": ""paragraph 273"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-4ccedc03fd0aec1094b0,2020-06-23,US House,District 16,Andom Ghebreghiorgis,opponent,campaign_strategy_and_framing | climate_environment | foreign_policy | healthcare,4,1,0,"[{""excerpt_id"": ""exc-hist-c-07-007"", ""topic"": ""climate_environment"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-controlled platform."", ""quote"": ""Transition to 100% clean, renewable energy by 2030"", ""source_url"": ""https://web.archive.org/web/20190918095221id_/https://www.andomforny.com/green-new-deal-policy"", ""locator"": ""paragraph 10"", ""source_type"": ""archived_campaign_policy_page"", ""timing"": ""verified_archive_capture""}, {""excerpt_id"": ""ny20-andom-health"", ""topic"": ""healthcare"", ""kind"": ""policy_position"", ""claim_summary"": ""Explicitly supports Medicare for All in his candidate-authored policy list."", ""quote"": ""Support Medicare for All"", ""source_url"": ""https://drive.google.com/open?id=1mIjSkAFETXyDmiYLeoL2lSPidkJUiRNb"", ""locator"": ""paragraph 4"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publisher_release_bound""}, {""excerpt_id"": ""ny20-andom-climate"", ""topic"": ""climate_energy"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports a global Green New Deal and connects climate cooperation to reduced military-industrial spending."", ""quote"": ""securing a Global Green New Deal"", ""source_url"": ""https://drive.google.com/open?id=1mIjSkAFETXyDmiYLeoL2lSPidkJUiRNb"", ""locator"": ""paragraph 3"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publisher_release_bound""}, {""excerpt_id"": ""ny20-andom-strategy"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Presents coordinating students, families and community stakeholders as preparation for representing neglected communities in Congress."", ""quote"": ""Collaborating to implement needed interventions"", ""source_url"": ""https://drive.google.com/open?id=1mIjSkAFETXyDmiYLeoL2lSPidkJUiRNb"", ""locator"": ""paragraph 3"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publisher_release_bound""}, {""excerpt_id"": ""ny20-andom-war"", ""topic"": ""foreign_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Argues for moving away from military-industrial spending toward domestic investment and multilateral climate cooperation. Accusations about other candidates' records are not independently adopted."", ""quote"": ""divest from the military industrial complex"", ""source_url"": ""https://drive.google.com/open?id=1mIjSkAFETXyDmiYLeoL2lSPidkJUiRNb"", ""locator"": ""paragraph 3"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publisher_release_bound""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
