comparison_id,race_id,election_date,topic,relationship,analysis,review_method,timing_status,candidate_name,candidate_excerpt_id,candidate_quote,candidate_source_url,candidate_publication_date,candidate_locators,candidate_source_sha256,candidate_timing_status,opponent_name,opponent_excerpt_id,opponent_quote,opponent_source_url,opponent_publication_date,opponent_locators,opponent_source_sha256,opponent_timing_status,representation_kind,comparison_scope,election_timing,candidate_source_speaker_name,candidate_archive_url,candidate_capture_date,candidate_reviewed_locator,candidate_ballot_name,candidate_ballot_party,candidate_identity_resolution,candidate_identity_evidence_ids,candidate_identity_review_notes,opponent_source_speaker_name,opponent_archive_url,opponent_capture_date,opponent_reviewed_locator,opponent_ballot_name,opponent_ballot_party,opponent_identity_resolution,opponent_identity_evidence_ids,opponent_identity_review_notes,identity_resolution,identity_caveat,candidate_publication_month,candidate_source_type,opponent_publication_month,opponent_source_type
cmp-wi3-public-school-funding,race-a0d0079bd79eae1cceb4,2026-08-11,education,shared_position,"Both candidates support public-school funding. Berge calls for fully funding public schools; Cooke calls for changing funding formulas so poorer districts receive more. The shared position does not imply agreement on the level of government, formula design, or other education programs.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Emily Berge,ex-wi3-berge-public-schools,Protect and fully fund public schools,https://www.bergeforcongress.com/issues/,,paragraph 67,4181ba9e39912fa17cf3eb6cc31a5fda4e5c2382f3f2121932a361409d41afb9,verified_archive_capture,Rebecca Cooke,ex-wi3-cooke-public-schools,"redistribute funding where it needs to be (i.e. poorest districts currently get the least, should get the most)",https://cookeforwisconsin.com/priorities/,,paragraph 76,22bb37dca36844951a5621f0543e88e4eb911a643e59fd58e58506c4a1d482bc,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Emily Berge,https://web.archive.org/web/20260811044341id_/https://www.bergeforcongress.com/issues/,2026-08-11,"Public education issue section, first policy bullet",Emily Berge,Democratic,exact_case_insensitive_match,,,Rebecca Cooke,https://web.archive.org/web/20260811044537id_/https://cookeforwisconsin.com/priorities/,2026-08-11,"Strengthening our Education System, fourth action bullet on state funding formulas",Rebecca Cooke,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-pa03-universal-healthcare,race-95a691a9cb8491b42328,2026-05-19,healthcare,shared_position,Both excerpts support universal health care. Rabb specifies Medicare for All as the mechanism; Street's retained statement supports universal coverage without specifying the same mechanism.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Chris Rabb,ex-pa03-rabb-healthcare,Medicare For All is the only way we can achieve universal healthcare,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-chris-rabb/413545/,2026-05-14,paragraph 100,8f84b97fc9ea9a395220998e5bfe0390017d8e0d4bb8cf98430aaba875915450,verified_publication_date,Sharif Street,ex-pa03-street-healthcare,I support universal healthcare.,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-sharif-street/413480/,2026-05-12,paragraph 93,a8d6714a2f3cf4dd7f550371c80db13470292fc10d54720b5fcb2409836f8be0,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Chris Rabb,,,"Healthcare policy answer, third paragraph",CHRISTOPHER M RABB,Democratic,accepted_direct_official_alias,pa03-rabb-official-alias-20210105,Official Pennsylvania House source directly uses formal Christopher M. Rabb and short-form Chris Rabb on the same page.,Sharif Street,,,"Healthcare policy answer, second paragraph",SHARIF T STREET,Democratic,accepted_contextual_official_alias,pa03-street-citystate-20260512 | pa03-street-fec-identity,"Review-only corroboration: the questionnaire displays Sharif Street and FEC candidate H6PA03195 identifies STREET, SHARIF in the same 2026 PA-03 race. Neither retained identity source explicitly prints the middle initial T alongside the display name, so this is not direct exact alias proof.",,,,,,
cmp-il06-healthcare-strategy,race-46743736b1d8a06d6eff,2026-03-17,healthcare,different_strategy,"Both excerpts seek broad health coverage, but Ruzevich specifies a single-payer Medicare for All model while Casten emphasizes strengthening and expanding ACA coverage. Casten's excerpt does not explicitly oppose Medicare for All, so this is not coded as explicit disagreement.",assistant_source_review_not_independent_human_gold,pre_primary_verified,"Joseph ""Joey"" Ruzevich",ex-il06-ruzevich-healthcare,implementing a single-payer system like Medicare for All,https://chicago.suntimes.com/elections/2026/candidate-questionnaires/joseph-joey-ruzevich-illinois-primary-6th-congressional-district,2026-02-20,paragraph 82,abf31bf462d83face680eba6763d4b850fc8c0334f86b8db8c79e1e8658fc68a,verified_publication_date,Sean Casten,ex-il06-casten-healthcare,protect and strengthen the ACA by ensuring that all Americans have health insurance,https://www.castenforcongress.com/issues/health-care/,,paragraph 12,d52fe37ec2fd27aca3980138d06794a840d49815bceab363af3cb017d7b1b486,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,"Joseph ""Joey"" Ruzevich",,,Candidate response discussing cost of living and health-care premiums,"Joseph ""Joey"" Ruzevich",Democratic,exact_case_insensitive_match,,,Sean Casten,https://web.archive.org/web/20260211222212id_/https://www.castenforcongress.com/issues/health-care/,2026-02-11,"Health Care platform, first paragraph",Sean Casten,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-il08-ahmed-khot-healthcare,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,different_strategy,"Ahmed's answer advances Medicare for All; Khot's pre-primary archived platform pledges to protect ACA subsidies. These are different stated approaches, not evidence that Khot rejects other coverage models.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Junaid Ahmed,ex-il08-junaid-single-payer,We must pass Medicare for All,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Neil Khot,ex-il08-khot-aca-subsidies,We will protect ACA subsidies,https://neilforcongress.com/priorities/,,paragraph 47,c5e2b7527a9736bba27187a720e8fb0a076766aa222f89baa18b17c0fc55112d,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"paragraph 131, opening sentence of the healthcare answer",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Neil Khot,https://web.archive.org/web/20260317005959id_/https://neilforcongress.com/priorities/,2026-03-17,"paragraph 47, Healthcare section",Neil Khot,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-pa03-rabb-stanford-healthcare,race-95a691a9cb8491b42328,2026-05-19,healthcare,different_strategy,Rabb specifies Medicare for All as the route to universal healthcare; Stanford's dated answer calls for a public option alongside drug-price negotiation and cost caps. This compares their stated mechanisms without imputing opposition to an unmentioned proposal.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Chris Rabb,ex-pa03-rabb-healthcare,Medicare For All is the only way we can achieve universal healthcare,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-chris-rabb/413545/,2026-05-14,paragraph 100,8f84b97fc9ea9a395220998e5bfe0390017d8e0d4bb8cf98430aaba875915450,verified_publication_date,Ala Stanford,ex-pa03-stanford-public-option,push hard for a public option,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-ala-stanford/413461/?oref=ng-homepage-top-story,2026-05-11,paragraph 92,a8d46e686c4d5e6a7f5aef861548b815302263a3441fcc200d327a0d340099ef,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Chris Rabb,,,"Healthcare policy answer, third paragraph",CHRISTOPHER M RABB,Democratic,accepted_direct_official_alias,pa03-rabb-official-alias-20210105,Official Pennsylvania House source directly uses formal Christopher M. Rabb and short-form Chris Rabb on the same page.,Ala Stanford,,,"paragraph 92, Healthcare policy answer",Ala Stanford,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-pa03-rabb-griffith-healthcare,race-95a691a9cb8491b42328,2026-05-19,healthcare,different_emphasis,Rabb specifies a Medicare-for-All financing model. Griffith emphasizes using his Speaker vote as leverage for a floor vote on universal healthcare. Those policy and procedural priorities can coexist; this is not a demonstrated disagreement.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Chris Rabb,ex-pa03-rabb-healthcare,Medicare For All is the only way we can achieve universal healthcare,https://www.cityandstatepa.com/politics/2026/05/candidate-questionnaire-chris-rabb/413545/,2026-05-14,paragraph 100,8f84b97fc9ea9a395220998e5bfe0390017d8e0d4bb8cf98430aaba875915450,verified_publication_date,Shaun Griffith,ex-pa03-griffith-universal-healthcare-vote,a vote on the floor for universal healthcare,https://www.cbsnews.com/philadelphia/news/pennsylvania-primary-2026-third-congressional-district-affordability/,2026-05-13,paragraph 161,c68a65fd6028efeae58a0b6bca128daa3627001bb88b8cfca3e38bd0d0383617,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Chris Rabb,,,"Healthcare policy answer, third paragraph",CHRISTOPHER M RABB,Democratic,accepted_direct_official_alias,pa03-rabb-official-alias-20210105,Official Pennsylvania House source directly uses formal Christopher M. Rabb and short-form Chris Rabb on the same page.,Shaun Griffith,,,"paragraph 161, direct quotation followed by Griffith said",SHAUN D GRIFFITH,Democratic,accepted_contextual_official_alias,pa03-cbs-affordability-20260513 | pa03-shaun-griffith-rendered,"Explicit contextual mapping of the canonical display name to the unique same-race Democratic ballot candidate. CBS identifies tax attorney Shaun Griffith in the 2026 PA-03 field; his campaign identifies the same office. These sources omit middle initial D, so this is not direct full-legal-name proof or a fuzzy automatic merge.",,,,,,
cmp-mo04-housing-strategy,race-3b9a8d1c4fa2cbcadb73,2026-08-04,housing,different_strategy,Both support expanding affordable housing supply. Gray specifies Faircloth Amendment repeal and public-housing investment; Herrera proposes a National Housing Emergency to accelerate construction. The comparison does not imply disagreement on other housing policies.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Hartzell Gray,ex-mo04-hartzell-housing-1,"repeal the Faircloth Amendment, and invest in public housing that’s safe, modern, and energy-efficient",https://www.hartzellforcongress.com/,,paragraph 56,6c1e351c090b6a5bba5e11a260067bf9d04a830906831efc4f42cf8f78ee204d,verified_archive_capture,Jordan Herrera,ex-mo04-herrera-housing-1,I support declaring a National Housing Emergency,https://jordanjherrera.com/issues,,paragraph 32,699cc08117ef168ef9947b16228c61f8dbdd4e66233f51d9145e03c8add797ba,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Hartzell Gray,https://web.archive.org/web/20260803201925id_/https://www.hartzellforcongress.com/,2026-08-03,"Housing is a Human Right section, second paragraph",Hartzell Gray 3rd,Democratic,accepted_contextual_official_alias,mo04-identity-sos-20260606 | mo04-hartzell-platform-20260803,"Explicit same-race mapping of the campaign/registry display name to the certified name with suffix. Contextual official and campaign evidence, not a fuzzy global merge or a claim that an official candidate number was assigned.",Jordan Herrera,https://web.archive.org/web/20260803205949id_/https://jordanjherrera.com/issues/,2026-08-03,Housing Affordability & Economic Revitalization > My Housing Plan > Increase Supply at Scale,Jordan Herrera,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-mo04-hartzell-miller-housing,race-3b9a8d1c4fa2cbcadb73,2026-08-04,housing,different_mechanism,"Both advocate truly affordable housing. Gray names public-housing investment and repeal of the Faircloth Amendment; Miller names tax incentives for builders. These are different mechanisms that could coexist, not proof that either rejects the other's proposal.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Hartzell Gray,ex-mo04-hartzell-housing-1,"repeal the Faircloth Amendment, and invest in public housing that’s safe, modern, and energy-efficient",https://www.hartzellforcongress.com/,,paragraph 56,6c1e351c090b6a5bba5e11a260067bf9d04a830906831efc4f42cf8f78ee204d,verified_archive_capture,Randy Miller,ex-mo04-miller-housing-1,Tax incentives for builders who build truly affordable housing,https://www.randymillercongress.com/,,paragraph 22,91e7af8815a6d74f01ef3cc0a6975293ca1a5a2367f7414d8eb80822553185de,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Hartzell Gray,https://web.archive.org/web/20260803201925id_/https://www.hartzellforcongress.com/,2026-08-03,"Housing is a Human Right section, second paragraph",Hartzell Gray 3rd,Democratic,accepted_contextual_official_alias,mo04-identity-sos-20260606 | mo04-hartzell-platform-20260803,"Explicit same-race mapping of the campaign/registry display name to the certified name with suffix. Contextual official and campaign evidence, not a fuzzy global merge or a claim that an official candidate number was assigned.",Randy Miller,https://web.archive.org/web/20260803201241id_/https://www.randymillercongress.com/,2026-08-03,"Homepage policy list, affordable housing item",Randy Miller,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-hist-a-05-003,race-e7ab577213f4505717ec,2023-06-27,housing,different_strategy,"Both address housing supply through urban development; Brown emphasizes mixed use and zoning changes, while Rudd centers concentrated urban-core density.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Maurice Brown,exc-hist-a-05-010,promote more mixed-use developments — including both residential and commercial use — and affordable housing,https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,2023-03-13,paragraph 122,ceaae48905a17da6d08f475d32a4fe17e9f51d5c28deecc5aec556b59fbb7e24,verified_publication_date,Tim Rudd,exc-hist-a-05-011,the best path to equitable development is to cultivate density in our urban core,https://web.archive.org/web/20230624171610/https://www.syracuse.com/opinion/2023/06/tim-rudd-growing-syracuses-urban-core-improves-economy-for-all-your-letters.html,2023-06-20,paragraph 34,f66278542beb1a647ebf86f1d6702c39f56ae80911b4094b3a654b3bc08019b1,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,https://web.archive.org/web/20230624171610/https://www.syracuse.com/opinion/2023/06/tim-rudd-growing-syracuses-urban-core-improves-economy-for-all-your-letters.html,2023-06-24,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_op_ed,,candidate_op_ed
cmp-hb01-green-line,race-0f0734c608b02353f3cf,2016-09-08,transportation,shared_position,Both candidates support completing the Green Line Extension. Connolly frames it as an overdue mandate; Toomey emphasizes ensuring completion.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Mike Connolly,ex-hb01-connolly-glx,Complete the Green Line Extension — it's been 26 years since the state was ordered to build the GLX.,http://web.archive.org/web/20160807044232/http://www.mikeconnolly.org:80/progressive_platform,,paragraph 35,320658385c58ec918d6c0a06061ae5f0825db76518e98f3812be6688b03d772c,verified_archive_capture,"Timothy J. Toomey, Jr.",ex-hb01-toomey-glx,Tim is committed to ensuring that the Green Line Extension becomes a reality.,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,,paragraph 35,3f3e99157fbeb67f5e73751d24fea9fcb97ae3fc16753fe4b7bb63fff2a5c059,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,,http://web.archive.org/web/20160807044232/http://www.mikeconnolly.org:80/progressive_platform,2016-08-07,,,,,,,,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,2016-04-16,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,campaign_platform,,campaign_policy_page
