excerpt_id,speaker,race_id,election_date,topic,quote,source_url,publication_date,quote_match_locators,source_sha256,reviewed,review_method,representation_kind,representation_review_notes,document_id,role,subtopic,stance,short_exact_quote,locator,notes,canonical_speaker,review_notes,archive_url,capture_date,temporal_evidence_date,ballot_name,ballot_party,identity_resolution,identity_evidence_ids,identity_review_notes,identity_source_ids,identity_evidence_type,comparison_scope,election_timing,timing_status,evidence_status,source_id,metadata_document_id,attribution_notes,election_identity_status,source_status,source_type,metadata_publication_date,publication_month,available_by_date,source_updated_date,version_timing_qualification,candidate_scoped_locators,identity_caveat,official_election_source,official_election_source_status,certified_opponents_status,replaced_source_document_id,candidate_document_registration,source_speaker,identity_review,claim_summary,answer_context,identity_evidence_document_ids
exc-hist-a-07-014,Andrew Hairston,race-14d53ce965776b0cb235,2026-03-03,criminal_justice,"a justice system rooted in care, not punishment",https://web.archive.org/web/20260223193939/https://www.hairstonforpeace.com/,,paragraph 42,48a0a37818ca16e03e02d2ebf7c1ab67b23f70621d42ba3ae52c52dda400ec06,false,assistant_source_review_not_independent_human_gold,campaign_frame,,4d33efbbcceec3b9b2188d2b,endorsed_candidate,justice_approach,care_not_punishment_framing,"a justice system rooted in care, not punishment",paragraph 42,Candidate-controlled campaign page. The framing does not itself specify an incarceration-reduction mechanism.,Andrew Hairston,Assistant source review; Candidate-controlled campaign page. The framing does not itself specify an incarceration-reduction mechanism.,https://web.archive.org/web/20260223193939/https://www.hairstonforpeace.com/,2026-02-23,2026-02-23,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,src-hist-a-07-4d33efbbcceec3b9b2188d2b,4d33efbbcceec3b9b2188d2b,Candidate-controlled campaign page. The framing does not itself specify an incarceration-reduction mechanism.,canonical_registry_and_cached_source_association_only,used,archived_campaign_page,2026-02-23,,,,,paragraph 42,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,source_unavailable,corpus_candidate_set,,,,,,,
exc-hist-a-08-017,Karen Hoak,race-2c2133100c33cde0b378,2026-06-23,cost_of_living,"Affordability is housing, affordability is healthcare, affordability is childcare",https://investigativepost.org/2026/06/04/three-democrats-vie-for-149th-assembly-seat/,2026-06-04,paragraph 68,d1d9b1aed51a370ada7a9efe10a5f8735086fedb2453bdbcd11b85f42b3e979d,false,assistant_source_review_not_independent_human_gold,campaign_frame,,c88a0bd6a751795dfb87466b,opponent_candidate,multi_issue_affordability,prioritize,"Affordability is housing, affordability is healthcare, affordability is childcare",paragraph 68,Direct quotation identifies the campaign's broad affordability frame without a mechanism.,Karen Hoak,Assistant source review; Direct quotation identifies the campaign's broad affordability frame without a mechanism.,,,2026-06-04,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,,src-hist-a-08-c88a0bd6a751795dfb87466b,c88a0bd6a751795dfb87466b,Direct quotation identifies the campaign's broad affordability frame without a mechanism.,canonical_registry_and_cached_source_association_only,used,attributable_interview,,,,,,paragraph 68,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,unresolved,corpus_candidate_set,,,,,,,
exc-hist-a-09-045,Kyle Lamont,race-3db62fccce64bbd64336,2026-05-19,campaign_frame,"District 58, A Community Where We All Thrive!",https://web.archive.org/web/20260311030252id_/https://www.kylelamontfor58.com/,,paragraph 16,6723135483b300ff6b0f705448510a0f6495071d27cb758e35a88b6dd58a0670,false,assistant_source_review_not_independent_human_gold,campaign_frame,,28ebc4844265edb734040c3a,opponent_candidate,inclusive_community,aspirational,"District 58, A Community Where We All Thrive!",paragraph 16,"Candidate-controlled campaign slogan. It is retained as campaign framing, not a substantive policy proposal.",Kyle Lamont,"Assistant source review; Candidate-controlled campaign slogan. It is retained as campaign framing, not a substantive policy proposal.",https://web.archive.org/web/20260311030252id_/https://www.kylelamontfor58.com/,2026-03-11,2026-03-11,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,src-hist-a-09-28ebc4844265edb734040c3a,28ebc4844265edb734040c3a,"Candidate-controlled campaign slogan. It is retained as campaign framing, not a substantive policy proposal.",canonical_registry_and_cached_source_association_only,used,archived official campaign page,2026-03-11,,,,,paragraph 16,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,source_unavailable,corpus_candidate_set,,,,,,,
ex-hb08-orkin-campaign-frame,David Orkin,race-39f265caadf4efc1cdd3,2026-06-23,campaign_approach,"I'm not a person that had envisioned themselves running for office, and I don't consider myself to be a traditional candidate in many ways",https://hellgatenyc.com/david-orkin-assembly-district-38-interview/,2026-06-02,paragraph 42,e02393b9793f549a6c95cab17d7d36b7d493568e591736b9ceae940dd08edb17,false,assistant_source_review_not_independent_human_gold,campaign_frame,,1404488badd308c9a7f46d0e,endorsed_candidate,nontraditional_candidate,self_description,"I'm not a person that had envisioned themselves running for office, and I don't consider myself to be a traditional candidate in many ways",paragraph 42,Direct candidate quotation describing how he framed his candidacy; it is not treated as a policy mechanism. Source association and canonical role come from the cached packet and were semantically checked; this is not independent ballot verification.,David Orkin,Assistant source review; Direct candidate quotation describing how he framed his candidacy; it is not treated as a policy mechanism. Source association and canonical role come from the cached packet and were semantically checked; this is not independent ballot verification.,,,2026-06-02,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,,,1404488badd308c9a7f46d0e,Direct candidate quotation describing how he framed his candidacy; it is not treated as a policy mechanism. Source association and canonical role come from the cached packet and were semantically checked; this is not independent ballot verification.,,,attributable_interview,,,,,,paragraph 42,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,unresolved,corpus_candidate_set,,,,,,,
ex-hb10-puppolo-campaign-frame,"Angelo J. Puppolo, Jr.",race-54b552116a27a8f0ef97,2026-09-01,campaign_approach,"We need strong, experienced and committed leaders now more than ever.",https://wmasspi.com/2025/06/a-challenge-to-puppolo-in-mass-house-begins-quite-early.html,2025-06-18,paragraph 98,dcb575b2ad9d90d363aa9d2aecb52340889cf7e3e888e8a9ebda276b6be9cf28,false,assistant_source_review_not_independent_human_gold,campaign_frame,,frontier-ma26-story,opponent_candidate,experience_and_commitment,self_description,"We need strong, experienced and committed leaders now more than ever.",paragraph 98,"Direct candidate reelection framing emphasizing experience and commitment; reporter descriptions of his policy record remain excluded. Source association and canonical role come from the cached packet and were semantically checked; this is not independent ballot verification. The retained same-page JSON-LD verifies publication and revision on June18,2025, before the2026 primary. This replaces the earlier unnecessary timing qualification without creating a duplicate claim. Reporter prose remains outside the quote-only model scope. | Exact candidate quotation is retained from his emailed statement reproduced by the original publisher. The retained same-page JSON-LD verifies publication and revision on June18,2025, before the2026 primary. This replaces the earlier unnecessary timing qualification without creating a duplicate claim. Reporter prose remains outside the quote-only model scope.","Angelo J. Puppolo, Jr.","Assistant source review; Direct candidate reelection framing emphasizing experience and commitment; reporter descriptions of his policy record remain excluded. Source association and canonical role come from the cached packet and were semantically checked; this is not independent ballot verification. The retained same-page JSON-LD verifies publication and revision on June18,2025, before the2026 primary. This replaces the earlier unnecessary timing qualification without creating a duplicate claim. Reporter prose remains outside the quote-only model scope. | Exact candidate quotation is retained from his emailed statement reproduced by the original publisher. The retained same-page JSON-LD verifies publication and revision on June18,2025, before the2026 primary. This replaces the earlier unnecessary timing qualification without creating a duplicate claim. Reporter prose remains outside the quote-only model scope.",,,2025-06-18,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,timing_unverified,,6a19d0855a3430a42fb35246-dcb575b2ad9d,"Exact candidate quotation is retained from his emailed statement reproduced by the original publisher. The retained same-page JSON-LD verifies publication and revision on June18,2025, before the2026 primary. This replaces the earlier unnecessary timing qualification without creating a duplicate claim. Reporter prose remains outside the quote-only model scope.",,,candidate_interview,,,,2025-06-18,,paragraph 98 reviewed quotation,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.sec.state.ma.us/divisions/elections/research-and-statistics/dem-state-primary-candidates2026.htm,resolution_verified,corpus_candidate_set,130be9bfd7a44c6c2c1a4a04,"{'race_id': 'race-54b552116a27a8f0ef97', 'candidate_name': 'Angelo J. Puppolo, Jr.', 'role': 'opponent', 'election_date': '2026-09-01', 'source_type': 'candidate_interview', 'publication_date': '2025-06-18', 'locator': 'paragraph 98'}",Angelo Puppolo,"{'status': 'accepted_reviewed_source_alias', 'evidence_document_ids': ['frontier-ma26-story'], 'notes': 'The publisher identifies Angelo Puppolo as the incumbent12th Hampden representative and reproduces his emailed response to the2026 primary challenge. This is the reviewed shortened public name of the canonical Angelo J. Puppolo,Jr.'}",,,
exc-hist-a-rec-jimmy-jones-001,Jimmy Jones,race-0737ecc067d5cc0799e8,2018-03-06,campaign_frame,solid and proven leadership experience,http://jdarnellforcongress.com/,,paragraph 15,595abc6ff76ad83e716cbb9d37ea006fb5966d7dc07f342a9fedaedcbedf33fe,false,assistant_source_review_not_independent_human_gold,campaign_frame,,hist-a-rec-jimmy-jones-20180224,opponent_candidate,leadership_experience,emphasize_record,solid and proven leadership experience,paragraph 15,First-person candidate-controlled framing; not treated as a substantive policy proposal.,Jimmy Jones,Assistant source review; First-person candidate-controlled framing; not treated as a substantive policy proposal.,https://web.archive.org/web/20180224022154id_/http://jdarnellforcongress.com/,2018-02-24,2018-02-24,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,,158f3ad64824d6e71b32f1aa-595abc6ff76a,,,used,archived_campaign_homepage,,,,,,paragraph 15 reviewed quotation,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.sos.state.tx.us/elections/forms/enrrpts/2018-dem-primary.pdf,processed_verified,processed_verified,,,J. Darnell Jones,"{'status': 'accepted_contextual_official_alias', 'canonical_candidate_name': 'Jimmy Jones', 'source_speaker_name': 'J. Darnell Jones', 'evidence_document_ids': ['hist-a-rec-jimmy-jones-20180224', 'hist-a-id-tx-election-history-2018-tx02', 'hist-a-id-tx-dem-primary-20180306-tx02'], 'notes': 'The recovered first-party campaign source identifies J. Darnell Jones. Two copied Texas Secretary of State tables show J. Darnell Jones and Jimmy Jones respectively in the March 6, 2018 U.S. Representative District 2 Democratic contest, each alongside Ali Khorasani/Ali A. Khorasani, Todd Litton, Silky Malik, and Hamid/H. P. Parvizian. This supports a contextual official alias crosswalk, not proof of a legal-name change.'}",,,
exc-hist-a-rec-carlos-vilela-002,Carlos Vilela,race-f1e0f94b57d24c62031b,2026-05-19,campaign_frame,"I will always put District 42 first, above politics and special interests",https://www.carlosforhouse.com/,,paragraph 19,98a59a3ef2d5fbfa0dcf4d67d2a31aaeeffc96563e887fd77e1b2fe63ed4153b,false,assistant_source_review_not_independent_human_gold,campaign_frame,,hist-a-rec-carlos-vilela-20260511,opponent_candidate,constituency_service,commit,"I will always put District 42 first, above politics and special interests",paragraph 19,First-person campaign framing; not treated as a detailed policy proposal.,Carlos Vilela,Assistant source review; First-person campaign framing; not treated as a detailed policy proposal.,https://web.archive.org/web/20260511013624id_/https://www.carlosforhouse.com/,2026-05-11,2026-05-11,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,,8cf858c2d0bcfe1fbd939858-10b2306296dc,,,used,archived_campaign_homepage,,,,,,paragraph 19 reviewed quotation,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,unresolved,corpus_candidate_set,,,Carlos Vilela,,,,
hp-s16-immigration,Bernie Sanders,us-president-dem-primary-2016-nh,2016-02-09,immigration,Fair and Humane Immigration Policy,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,,paragraph 55,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,false,assistant_source_review_not_independent_human_gold,campaign_frame,,hist-pres-source-sanders2016,endorsed_candidate,humane_immigration_policy,support,Fair and Humane Immigration Policy,paragraph 55,"Named campaign agenda item, not proof of a specific citizenship mechanism.",Bernie Sanders,"Assistant source review; Named campaign agenda item, not proof of a specific citizenship mechanism.",https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,2016-01-06,2016-01-06,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,,37d889f9d5e21db48c12fe2f,,,,official_campaign_platform,,,,,,paragraph 55,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2016/,manual_verified,manual_verified,,,,,,,
hp-bk20-housing,Cory Booker,us-president-dem-primary-2020-nh,2020-02-11,housing,Access to safe and affordable housing transforms lives,https://web.archive.org/web/20190717082937id_/https://corybooker.com/issues/,,paragraph 47,b70b1c1de5bab17c2e1c86ba6f02608bc8048af86634e3522f503684dde57785,false,assistant_source_review_not_independent_human_gold,campaign_frame,,hist-pres-source-booker2020,opponent_candidate,housing_access,support,Access to safe and affordable housing transforms lives,paragraph 47,"Issue-summary framing, not a specific construction or rent-regulation mechanism.",Cory Booker,"Assistant source review; Issue-summary framing, not a specific construction or rent-regulation mechanism.",https://web.archive.org/web/20190717082937id_/https://corybooker.com/issues/,2019-07-17,2019-07-17,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,,a1083ea1ac8a30f7c59f5a5d,,,,official_campaign_platform,,,,,,paragraph 47,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020/,manual_verified,manual_verified,,,,,,,
exc-hist-c-02-002,Rita Lucido,race-7b205412dcd5835f97f9,2018-03-06,campaign_frame,Investing in human capital by ensuring a healthy workforce,https://web.archive.org/web/20180224062155id_/http://www.ritalucido.com/health_care,,paragraph 16,f66f2c90e02f3c99f9e934e096bfa81fb42c22683d323bfcd400993597ba3d1c,false,assistant_source_review_not_independent_human_gold,campaign_frame,,21c48c941c4f5e9b87cadf78,opponent_candidate,healthcare_and_economy,emphasize,Investing in human capital by ensuring a healthy workforce,paragraph 16,Candidate-controlled framing; no specific coverage mechanism is inferred.,Rita Lucido,Assistant source review; Candidate-controlled framing; no specific coverage mechanism is inferred.,https://web.archive.org/web/20180224062155id_/http://www.ritalucido.com/health_care,2018-02-24,2018-02-24,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,,21c48c941c4f5e9b87cadf78,,,used,archived_campaign_policy_page,2018-02-24,,,,,paragraph 16,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://elections.sos.state.tx.us/elchist324_state.htm,resolution_verified,corpus_candidate_set,,,,,,,
