finding_id,title,finding,limit,comparison_ids,source_case_count,source_urls
activism-and-institutional-strategy,Campaigns also differ over how representatives should exercise power,"In Missouri's 2022 primary, Cori Bush presents direct action for an eviction-moratorium extension as part of her congressional role; Steve Roberts contrasts street activism with work inside the Capitol while acknowledging shared concerns. In New York's 2020 District16 primary, Jamaal Bowman emphasizes inside-outside movement power while Eliot Engel emphasizes Democratic leadership relationships, even though both explicitly support Medicare for All and a Green New Deal. The timing-qualified Illinois 2020 guide shows another contrast: Anthony Clark emphasizes collective working-class power, Danny Davis emphasizes his progressive record, and Kristine Schanbacher emphasizes transferring her human-rights legal work to Congress.","These are candidates' self-presentations, not independent measures of legislative productivity, movement strength, or electoral effectiveness.",mo22-bush-roberts-activism | ny16-bowman-engel-strategy | ny16-bowman-engel-health | ny16-bowman-engel-climate | il20-clark-davis-strategy | il20-clark-schanbacher-strategy,3,https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/anthony-clark | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/danny-k-davis | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/kristine-schanbacher | https://patch.com/new-york/bronxville/jamaal-bowman-candidate-ny-congressional-district-16 | https://patch.com/new-york/newrochelle/eliot-engel-candidate-ny-congressional-district-16 | https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change
foreign-policy-shared-goals-distinct-conditions,Foreign-policy differences require specifying the actual condition or instrument,"The Ohio special-primary questionnaires combine shared support for a two-state solution with differing aid restrictions, negotiating conditions, and diplomatic sequences. General alliance support is not evidence of agreement on every weapons transfer or aid use.",These are candidates' attributed 2021 positions. The analysis neither adjudicates their factual claims nor substitutes them for present-day positions.,oh21-turner-brown-two-state | oh21-turner-johnson-two-state | oh21-turner-brown-aid | oh21-turner-brown-iran,1,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170851/2021-Ohio-11th-Candidate-Questionnaire-Jeffrey-D.-Johnson.pdf | https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf | https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Shontel-Brown.pdf
public-safety-programs-and-qualifications,"Public-safety comparisons need the specific intervention, not a blanket label","In the 2020 DC Ward4 questionnaires, Lewis George prioritizes Cure the Streets and Todd also supports violence-interruption funding; Edwards emphasizes community policing and police-school relationships. In the 2022 NY Senate21 questionnaires, David Alexis supports Fair and Timely Parole while Kaegan Mays-Williams requests amendments, yet both support the New York Health Act, Good Cause Eviction and full sex-work decriminalization. These combinations do not fit a single binary ideological label.",Support for one public-health or policing intervention is not proof of rejecting every other measure. Former occupation and endorsement category are not substitutes for the actual answer.,dc20-george-todd-safety | dc20-george-edwards-safety | ny22-alexis-mays-parole | ny22-alexis-mays-health | ny22-alexis-mays-good-cause | ny22-alexis-mays-sex-work,2,https://jimowles.org/news/candidate-answers-to-joldc-david-alexis-for-ny-senate-district-21-2022 | https://jimowles.org/news/candidate-answers-to-joldc-kaegan-mays-williams-for-ny-senate-district-21-2022 | https://www.petworthnews.org/blog/edwards-candidate-responses | https://www.petworthnews.org/blog/george-candidate-responses | https://www.petworthnews.org/blog/todd-candidate-responses
conditional-commitments-are-not-opposition,Conditions and uncertainty cannot be flattened into opposition,"In the Saval-Farnese 2020 questionnaires, Saval calls for a fracking ban; Farnese supports a ban at least while permitting is reviewed. Both support supervised consumption sites, but Farnese adds a host-community consent condition. Both favor community land trusts and an AB5-style worker-classification law. The evidence distinguishes duration, conditions and implementation rather than inventing blanket ideological opposition.","The publisher revised Saval's page in 2024, so these comparisons retain a version-timing qualification even though the original publication is dated 2020.",pa20-saval-farnese-fracking | pa20-saval-farnese-consumption | pa20-saval-farnese-land-trusts | pa20-saval-farnese-ab5,1,https://phila2ndward.org/candidates/larry-farnese-qna/ | https://phila2ndward.org/candidates/nikil-saval-qna/
public-ownership-and-moratorium-overlap,Complete fields reveal shared commitments to public ownership and development safeguards,"In Pittsburgh's 2023 District 7 questionnaire, Deb Gross and Jordan Botta both support public housing and inclusionary zoning while differing over additional tools and police staffing. In Allegheny County District 11, Dennis McDermott and Paul Klein both oppose privatizing Shuman and favor more council resources. All five Wisconsin Assembly District 76 candidates support a hyperscale data-center moratorium, although their proposed duration and safeguards differ. Bennett and Martinez-Rutherford also both support restoring rent-regulation authority.","These full questionnaire fields improve within-race comparison, not national representativeness. Near-duplicate Bennett/Sullivan public-bank responses are separately flagged and do not support a reviewed agreement.",pa23-gross-botta-public-housing | pa23-gross-botta-inclusionary | pa23-mcdermott-klein-shuman | pa23-mcdermott-klein-resources | wi26-bennett-benami-data-centers | wi26-bennett-castaneda-data-centers | wi26-bennett-martinez-data-centers | wi26-bennett-sullivan-data-centers | wi26-bennett-martinez-rent-control,3,https://madison.citycast.fm/madison-explained/madison-democrat-candidates-assembly-district-76 | https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott | https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross
same-race-agreement-and-disagreement,The same pair of candidates can agree on one ballot proposal and disagree on another,"In their September 2016 questionnaire, Mike Connolly supports recreational-cannabis legalization while Tim Toomey opposes that ballot question at the time, despite supporting prior decriminalization and medical measures. Both oppose the current charter-cap ballot proposal, even while disputing their records. Toomey also promises to implement legalization if voters approve it. Keeping the exact proposal and time frame avoids reducing a candidate to an across-the-board label.","These are the candidates' stated 2016 positions, not their present-day views or independent assessments of their records.",ma16-connolly-toomey-cannabis | ma16-connolly-toomey-charters | ma16-connolly-toomey-treatment,1,https://www.thesomervilletimes.com/archives/70059
philadelphia-checkbox-disagreement-and-overlap,Exact questionnaire items expose disagreements that broad ideological labels miss,"Cass Green and Sajda Blackwell both support state single-payer healthcare covering undocumented residents and a Pennsylvania Green New Deal. Their 2024 questionnaire marks differ on a moratorium on new charter schools and on ending the death penalty in all cases: Green supports both propositions and Blackwell marks no. Their longer answers also differ over infrastructure ownership, with Green opposing privatization and Blackwell considering private partnerships with community-input requirements.","Unexplained checkboxes are reported only for their exact questions, not as a complete account of either candidate's philosophy. These two questionnaires do not cover incumbent Amen Brown's platform.",pa24-cass-blackwell-health | pa24-cass-blackwell-climate | pa24-cass-blackwell-charters | pa24-cass-blackwell-death-penalty | pa24-cass-blackwell-infrastructure,1,https://drive.google.com/file/d/1UqFu6JXMdNmPb5WcNl4AomysVVM2sr-H/view?usp=share_link | https://drive.google.com/file/d/1rsBBT36n35HZaVxnEoqZt1xnWlpqDQP-/view?usp=share_link
new-york-commitment-versus-uncertainty,Different levels of commitment are not automatically opposing policies,"In the 2024 Assembly82 questionnaires, Jonathan Soto affirms a sex-work decriminalization bill while Michael Benedetto says he is open to learning more. Both separately support removing Vice Squads. In Assembly37, Claire Valdez and Johanna Carmona both support the named decriminalization bill and practical assistance for reproductive healthcare, while differing in housing and public-safety strategies. These distinctions require reading each answer in context rather than treating every less-specific answer as opposition.",These are selected source-backed comparisons within specific primaries. They do not establish that all other Democrats take the same positions or that these questionnaires cover every candidate in each field.,ny24-soto-benedetto-sex-work | ny24-soto-benedetto-vice | ny24-valdez-carmona-sex-work | ny24-valdez-carmona-abortion | ny24-valdez-carmona-housing | ny24-valdez-carmona-safety,2,https://drive.google.com/file/d/1sW1XWjjvfK1AptC5JWB9Y60_NgtoTpwp/view?usp=drive_link
minnesota-overlap-and-strategy,Minnesota candidates combine shared labor and housing goals with different governing approaches,"Sheigh Freeberg, Sandy Pappas and Zuki Ellis all support expanding workers' organizing or bargaining rights in their2022 Senate65 materials. Freeberg foregrounds community housing grants and school funding; Pappas emphasizes bonding, paid leave and pensions; Ellis combines public housing and tenant protection. Freeberg presents a people-before-profit frame while Pappas describes pragmatic progressive compromise. Ellis's nonresponse to one publisher is not treated as no platform because her separate Senate site was recovered.","The sources have different formats. These statements do not measure message frequency, campaign spending, or legislative effectiveness, and Freeberg is not characterized as rejecting all compromise.",mn22-freeberg-pappas-unions | mn22-freeberg-ellis-unions | mn22-freeberg-pappas-housing | mn22-freeberg-ellis-housing | mn22-freeberg-pappas-budget | mn22-freeberg-pappas-framing,1,https://web.archive.org/web/20220126231521id_/https://zukiellis.com/vision/ | https://web.archive.org/web/20220805014447id_/https://sandypappas.com/vision | https://weststpaulreader.com/2022/07/07/state-legislature-primary-priorities/ | https://weststpaulreader.com/2022/07/15/2022-state-legislature-primary-election-surplus/ | https://weststpaulreader.com/2022/07/29/state-legislature-primary-democratic/
philadelphia-conditional-overdose-support,A negative checkbox can conceal a conditional position that the explanation makes clear,"In the 2023 Philadelphia District7 questionnaires, Andrés Celin marks no on overdose-prevention centers but says he can support them if accompanying neighborhood-safety measures are implemented at the same time. Quetcy Lozada rules out her district while supporting a center elsewhere under stated conditions. They disagree more directly on reducing school-police reliance and committing to a fossil-fuel ban in new buildings, while both support affordable housing production and the public-bank initiative named in the questionnaire.","Lozada's PDF has intrinsic2023 context but no verified pre-primary release version, so these pairs remain timing-qualified. Her support for an eventual fossil-fuel ban is preserved rather than mislabeled as categorical opposition to decarbonization.",pa23-celin-lozada-overdose | pa23-celin-lozada-school-police | pa23-celin-lozada-fossil-buildings | pa23-celin-lozada-housing | pa23-celin-lozada-public-bank,1,https://drive.google.com/file/d/13J9z0FW58AFqDYcysUG02YvsdLrFlEUf/view?usp=share_link | https://drive.google.com/file/d/18MLZtI0-GkZmT2JeVuwR2dsZonev8dmh/view?usp=share_link
local-and-international-campaign-framing,Candidates can disagree over what belongs in a local campaign,"In the 2024 NY14 primary, Marty Dolan presents the Gaza war as peripheral to district concerns. Alexandria Ocasio-Cortez explicitly argues that international policy and spending translate into local resource decisions. This is a documented disagreement in campaign focus, not an independently established finding about constituents' priorities. The 2020 NY14 relief debate likewise contrasts scrutiny of corporate-favoring program design with passing aid and pursuing further legislation, without reducing either candidate to a blanket pro- or anti-relief label.","The2020 reports discuss overlapping coronavirus measures, so the analysis does not invent a precisely identified common statutory vote. Campaign rhetoric is not measured public opinion or proof of policy effectiveness.",ny24-aoc-dolan-local-global | ny20-aoc-caruso-relief,2,https://ny1.com/nyc/all-boroughs/news/2020/06/03/ocasio-cortez-faces-first-reelection-test-after-two-years-of-being-national-face-of-progressives | https://ny1.com/nyc/all-boroughs/news/2020/06/05/alexandria-ocasio-cortez-michelle-caruso-cabrera-badrun-khan-14th-congressional-district-virtual-ny1-debate- | https://www.bxtimes.com/aoc-rally-south-bronx/ | https://www.bxtimes.com/marty-dolan-ballot/
correct-contest-and-changing-positions,Correct opponents and current statements matter more than a simple incumbent–challenger story,"The official2020 Douglas County returns place Shannon Portillo against Karen Willey in District3, and Shannon Reid against Nancy Thellman and Sara Taliaferro in District2. In the correct fields, both Portillo and Willey discuss alternatives to jail expansion, while Reid and Taliaferro oppose the current expansion project. Thellman describes reconsidering the project during the pandemic rather than simply restating her earlier yes vote. Comparing an old vote with an opponent's current statement would miss that change.","These are attributed primary-period positions and stated goals, not proof of identical commitments or a later vote audit. The earlier crossed district assignment and erroneous unopposed flag are corrected against the retained official results.",ks20-portillo-willey-jail | ks20-reid-taliaferro-jail | ks20-reid-thellman-jail | ks20-reid-thellman-representation,2,https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-douglas-county-commissioner-nancy-thellman-wants-fourth-term-to-continue-work-she-started/ | https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-karen-willey-wants-to-lead-douglas-county-past-political-fractures/ | https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-shannon-portillo-touts-her-criminal-justice-scholarship-for-douglas-county-commission-role | https://www2.ljworld.com/news/county-government/2020/jul/19/candidate-profile-shannon-reid-believes-douglas-county-leaders-need-to-listen-better-to-constituents/ | https://www2.ljworld.com/news/county-government/2020/jun/16/democrat-candidates-for-douglas-county-commission-all-voice-opposition-to-planned-jail-expansion/
local-oversight-and-pretrial-overlap,Criminal-justice comparisons often show shared goals with different tools,"In the2018 Clark County district-attorney race, Rob Langford and Steve Wolfson both describe release for defendants who present neither flight risk nor danger. Their bail-reform and capital-litigation arguments nevertheless differ. In Louisville's2020 District10 questionnaire, Ryan Fenwick and Pat Mulvihill both support civilian police review, while Fenwick foregrounds prevention and the spending mix and Mulvihill foregrounds warrants, auditing, recruitment and training. Neither example supports treating every non-endorsed Democrat as opposing reform.","The Louisville current edition has a known post-primary revision and remains timing-qualified. Langford is not coded as a categorical death-penalty abolitionist, and the review-board proposals do not grant identical powers.",f2-langford-wolfson-pretrial | f2-langford-wolfson-bail | f2-langford-wolfson-capital | ky20-fenwick-mulvihill-oversight | ky20-fenwick-mulvihill-safety,2,https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-clark-county-district-attorney-steve-wolfson | https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-democratic-clark-county-district-attorney-candidate-rob-langford | https://www.lpm.org/news/2020-06-17/kentucky-primary-2020-louisville-metro-council-district-10
