research_group,election_year,candidate_names,entity_kind,grouping_scope,records_without_direct_review,records_with_direct_review,race_ids,meaning
2020 | amy-klobuchar,2020,Amy Klobuchar,individual_candidate,same_cycle_national_campaign_research_only,28,1,race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | us-president-dem-primary-2020-ak | us-president-dem-primary-2020-al | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-pr | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | andrew-yang,2020,Andrew Yang,individual_candidate,same_cycle_national_campaign_research_only,31,1,race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-de351b5bf3d35c3ad4d1 | race-ea5afd75c9af396451a4 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-ri | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | bernard-sanders,2020,Bernard Sanders,individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | bernie-sanders,2020,Bernie Sanders,individual_candidate,same_cycle_national_campaign_research_only,42,1,race-271730fa96966d7953eb | race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-d48f1a508deba96b730b | race-de351b5bf3d35c3ad4d1 | us-president-dem-primary-2020-ak | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-ct | us-president-dem-primary-2020-de | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ks | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-mt | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-ne | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nj | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-pr | us-president-dem-primary-2020-ri | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-sd | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | cory-a-booker,2020,Cory A. Booker,individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | cory-booker,2020,Cory Booker,individual_candidate,same_cycle_national_campaign_research_only,19,1,race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-de351b5bf3d35c3ad4d1 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | david-john-thistle,2020,David John Thistle,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | david-lee-rice,2020,David Lee Rice,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | deval-patrick,2020,Deval Patrick,individual_candidate,same_cycle_national_campaign_research_only,27,1,race-5e5b97772655d92ca963 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-de351b5bf3d35c3ad4d1 | race-ea5afd75c9af396451a4 | us-president-dem-primary-2020-az | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | elizabeth-warren,2020,Elizabeth Ann Warren | Elizabeth Warren,individual_candidate,same_cycle_national_campaign_research_only,40,1,race-271730fa96966d7953eb | race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-d48f1a508deba96b730b | race-de351b5bf3d35c3ad4d1 | race-ea5afd75c9af396451a4 | us-president-dem-primary-2020-ak | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-de | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ks | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-mt | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-ne | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-pr | us-president-dem-primary-2020-ri | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | henry-hewes,2020,Henry Hewes,individual_candidate,same_cycle_national_campaign_research_only,3,0,us-president-dem-primary-2020-az | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | jason-evritte-dunlap,2020,Jason Evritte Dunlap,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | joe-sestak,2020,Joe Sestak,individual_candidate,same_cycle_national_campaign_research_only,5,0,race-707589896734489b0382 | race-aed8879df9fbc709db76 | race-c3b021b27cd1f9089be2 | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | john-k-delaney,2020,John Delaney | John K. Delaney,individual_candidate,same_cycle_national_campaign_research_only,17,1,race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-de351b5bf3d35c3ad4d1 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-wi,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | joseph-r-biden,2020,Joe Biden | Joseph Biden | Joseph R. Biden | Joseph R. Biden Jr.,individual_candidate,same_cycle_national_campaign_research_only,42,1,race-271730fa96966d7953eb | race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-d48f1a508deba96b730b | race-de351b5bf3d35c3ad4d1 | us-president-dem-primary-2020-ak | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-ct | us-president-dem-primary-2020-de | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-in | us-president-dem-primary-2020-ks | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-ms | us-president-dem-primary-2020-mt | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-ne | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-nj | us-president-dem-primary-2020-nm | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-pr | us-president-dem-primary-2020-ri | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-sd | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | joseph-robinette-biden-jr,2020,"Joseph Robinette Biden, Jr",individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | juli-castro,2020,Juli Castro,individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | julia-n-castro,2020,Julián Castro,individual_candidate,same_cycle_national_campaign_research_only,12,1,race-aed8879df9fbc709db76 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | julian-castro,2020,Julian Castro,individual_candidate,same_cycle_national_campaign_research_only,5,0,race-707589896734489b0382 | race-c3b021b27cd1f9089be2 | us-president-dem-primary-2020-md | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-vt,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | kamala-harris,2020,Kamala Harris,individual_candidate,same_cycle_national_campaign_research_only,2,0,race-c3b021b27cd1f9089be2 | us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | leonard-j-ii-steinman,2020,"Leonard J., II Steinman",individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-mo,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | lorenz-kraus,2020,Lorenz Kraus,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | marianne-d-williamson,2020,Marianne D. Williamson,individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | marianne-williamson,2020,Marianne Williamson,individual_candidate,same_cycle_national_campaign_research_only,18,1,race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-c3b021b27cd1f9089be2 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-az | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-ut | us-president-dem-primary-2020-va | us-president-dem-primary-2020-vt,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | mark-stewart,2020,Mark Stewart,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2020-vt,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | mark-stewart-greenstein,2020,Mark Stewart Greenstein,individual_candidate,same_cycle_national_campaign_research_only,2,0,race-aed8879df9fbc709db76 | us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | michael-a-ellinger,2020,Michael A. Ellinger,individual_candidate,same_cycle_national_campaign_research_only,2,0,race-aed8879df9fbc709db76 | us-president-dem-primary-2020-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | michael-bennet,2020,Michael Bennet,individual_candidate,same_cycle_national_campaign_research_only,25,0,race-5e5b97772655d92ca963 | race-707589896734489b0382 | race-980dc8b6fade3efe9c74 | race-aed8879df9fbc709db76 | race-b2f56d1987a501b29012 | race-c1bc1ffe72e97dc4e320 | race-c3b021b27cd1f9089be2 | race-de351b5bf3d35c3ad4d1 | us-president-dem-primary-2020-al | us-president-dem-primary-2020-fl | us-president-dem-primary-2020-ga | us-president-dem-primary-2020-id | us-president-dem-primary-2020-ma | us-president-dem-primary-2020-md | us-president-dem-primary-2020-mo | us-president-dem-primary-2020-nc | us-president-dem-primary-2020-nh | us-president-dem-primary-2020-oh | us-president-dem-primary-2020-ok | us-president-dem-primary-2020-sc | us-president-dem-primary-2020-tn | us-president-dem-primary-2020-tx | us-president-dem-primary-2020-va | us-president-dem-primary-2020-wi | us-president-dem-primary-2020-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
