statement_key,race_id,candidate_name,election_date,group,quote,source_url,model_name,device,topic_code,topic_name,similarity,runner_up_code,runner_up_name,runner_up_similarity,margin,keyword_topic_code,keyword_score,keyword_agrees,reviewed_topic
45a9179fc4ca5dfa49d6335d,race-771aff796d89fe4ec1df,Holly Friedman,2025-10-11,opponent,I support dedicating Housing Trust Fund investments toward: 1. Preserving existing affordable housing units in high opportunity neighborhoods. 2. Supporting small scale infill development on City owned and adjudicated lots. 3. Funding projects that support long term affordability through deed restrictions and shared equity models.,https://www.bgr.org/wp-content/uploads/BGR-2025-New-Orleans-City-Council-Candidate-QA-District-A.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.445952,13,Social welfare,0.285122,0.160830,14,0.447214,true,housing
53d7bcbf5dae8a3174b96971,race-ab159e431662d849f3f8,Peter Williams,2019-10-12,opponent,Tuition-free public education should be guaranteed through college.,https://ivoterguide.com/candidate/25233/race/8293/election/664,sentence-transformers/all-MiniLM-L6-v2,cpu,6,Education,0.517689,10,Transportation,0.220404,0.297285,6,0.894427,true,education
53e24d831bed163f905aaed9,race-c322c6a34951f0c48895,Rick Krajewski,2022-05-17,endorsed,His proudest accomplishments include winning a $2.5 million allocation to establish a statewide tenants’ right to counsel—ensuring low-income renters facing eviction or discrimination can access free legal representation in our courts.,https://www.rickforphilly.com/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.275048,2,Civil rights and liberties,0.163533,0.111515,2,0.447214,false,housing
3baa10fc74b47221e57cafc8,race-af2946bea89ae6832a3c,Tiffany Cabán,2021-06-22,endorsed,"This is a public safety plan. It’s a roadmap that empowers people, not police, to keep our communities safe.",https://qns.com/2021/02/caban-lays-out-new-vision-for-public-safety-policy-platform-for-nyc/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.434552,14,Housing and community development,0.321888,0.112664,12,0.447214,true,public_safety
692ad11f593418d90b3e979f,race-aed8879df9fbc709db76,Deval Patrick,2020-03-03,opponent,"The agenda proposes building on the Affordable Care Act with a public option to ensure access to universal, affordable health care coverage and strengthening coverage for mental health and addiction services.",https://www.presidency.ucsb.edu/documents/patrick-campaign-press-release-deval-patrick-unveils-reform-agenda,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.458817,13,Social welfare,0.347118,0.111699,,0.000000,false,healthcare
13b60431e2ba9f5550382cbd,race-a4cb4c786c15bc1f06d5,Sherman Hardy,2026-06-23,opponent,"On public safety, I support strong backing for police, fire, EMS, and emergency preparedness with accountability and smart deployment.",https://pgproudmag.com/2026/04/17/candidate-qa-8-questions-with-sherman-hardy/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.333726,16,Defense and veterans,0.321226,0.012500,12,0.447214,true,public_safety
c735cd77d073f63c047287a6,race-739b00d07e247e111eb1,Gavin Richard,2025-10-11,opponent,"We need a police department that is committed to not only protecting and serving the community, but also officers who are from those area, walking the beat.",https://www.bgr.org/wp-content/uploads/BGR-2025-New-Orleans-City-Council-Candidate-QA-District-E.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.401021,16,Defense and veterans,0.259777,0.141244,12,0.447214,true,public_safety
3cdfbadcb07297b0d915dc13,race-3db59a6535d2b87f2703,Kevin Carroll,2017-09-12,opponent,We should be finding out ways to increase rent stabilization.,https://bklyner.com/meet-candidate-kevin-peter-carroll-bay-ridges-district-43/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.448385,10,Transportation,0.233416,0.214968,14,0.447214,true,housing
1ac8be424337c043b5f62300,race-d3d54e895ad132bafc82,Alex Pedersen,2019-08-06,opponent,I will maximize mental health and drug addiction programs to achieve real results on this regional crisis.,https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Alex_Pedersen_Candidate_Council_District,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.276935,3,Health,0.259010,0.017925,,0.000000,false,public_safety
2b1891d26879b507ff470bb6,race-de3a3ef025ba2f70352c,Debora Juarez,2019-08-06,opponent,"In addition, we are building 1,200 units of affordable housing in D5.",https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Debora_Juarez_Candidate_Council_District,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.385523,10,Transportation,0.218307,0.167217,14,0.447214,true,housing
143ee81483ac1a706735929d,race-cd399ec12b7b060fffa5,John McKinney,2026-06-02,opponent,"I will challenge the status quo to ensure the law is applied fairly, consistently, and with integrity.",https://mckinney4la.com/local-prosecutor-john-mckinney-announces-candidacy-for-los-angeles-city-attorney/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.336694,9,Immigration,0.238398,0.098296,,0.000000,false,public_safety
4ec7992a55e49c8b2018d0de,race-76f51d329af062247a1f,Andrea Suarez,2024-08-06,opponent,I envision an equitable approach to public safety. We need to make sure our police officers treat everyone with respect and dignity with ongoing training and oversight.,https://electandrea.com/my-vision/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.466544,2,Civil rights and liberties,0.224355,0.242189,12,0.447214,true,public_safety
7afc0bb6d79ad6a50abf540a,race-a4cb4c786c15bc1f06d5,Imara Crooms,2026-06-23,endorsed,"Hard-working families who invest and sacrifice here deserve to see the fruit of their commitment through quality schools, safe neighborhoods, and real opportunity.",https://www.imaracrooms.com/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.319110,13,Social welfare,0.308402,0.010708,,0.000000,false,education
a8efbdfd9e47ec5c05144cb8,race-a493243e3fd4b72b829f,Rini Sampath,2026-06-16,opponent,"I will stabilize MPD staffing to end the overtime spiral, reinvest those savings in communities, and require MPD to publish disaggregated crime data by ward and race on a regular public schedule.",https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-rini-sampath/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.283622,14,Housing and community development,0.230050,0.053572,,0.000000,false,public_safety
d247d7d0615375fcb33f4ab4,race-739b00d07e247e111eb1,Jason Hughes,2025-10-11,opponent,Current short term rental rules and regulations must be enforced.,https://lwvofla.org/CBS_FILES/LWV_2025_FALL/lwv_2025_fall.php?Show=Show&Key=2577655950&Org=N,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.340212,15,"Business, commerce and consumers",0.279986,0.060225,,0.000000,false,housing
383f0a4f47bb098fa8cb9ac1,race-a5c9cc4ff2b525bcb410,Doug S. Chin,2018-08-11,opponent,"In Congress, I will follow in the footsteps of visionary leaders – like U.S. senators Brian Schatz and Bernie Sanders – to be a steadfast champion for preserving our precious natural resources, reducing greenhouse emissions, and stopping climate change.",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-doug-chin/,sentence-transformers/all-MiniLM-L6-v2,cpu,,Unclassified,0.190929,8,Energy,0.178878,0.012051,7,0.894427,false,climate_energy
3e414e25eb62673b78ecb1c8,race-d3d54e895ad132bafc82,Heidi Stuber,2019-08-06,opponent,"We need a new kind of leader in Seattle, someone who will take action to solve the big problems facing our city like homelessness, affordability, transportation, and climate change.",https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Heidi_Stuber_Candidate_Council_District_,sentence-transformers/all-MiniLM-L6-v2,cpu,8,Energy,0.215279,7,Environment,0.199795,0.015484,7,0.447214,false,climate_energy
7a8a85fb00b709746b1a66ac,race-771aff796d89fe4ec1df,Alex Mossing,2025-10-11,opponent,Housing Trust Fund dollars should focus on preserving existing affordable housing and creating new affordable units that strengthen neighborhoods.,https://www.bgr.org/wp-content/uploads/BGR-2025-New-Orleans-City-Council-Candidate-QA-District-A.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.435114,13,Social welfare,0.280892,0.154222,14,0.447214,true,housing
f8d59eb8104add517073fd69,race-d3d54e895ad132bafc82,Ethan Hunter,2019-08-06,opponent,"I am here to fight the landslide of unsheltered, a problem which has increased by 46 percent since 2017.",https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Ethan_Hunter_Candidate_Council_District_,sentence-transformers/all-MiniLM-L6-v2,cpu,,Unclassified,0.156111,8,Energy,0.154039,0.002072,,0.000000,false,housing
76c0419f3161e00fa6a76a0e,race-b481f0e166e141a2451a,Tim Ferreira,2018-06-05,opponent,We should not be closing our borders to those who are looking for those basic rights.,https://www.tim2018.com/responding_to_voter_questions_education_and_immigration,sentence-transformers/all-MiniLM-L6-v2,cpu,9,Immigration,0.360803,2,Civil rights and liberties,0.231050,0.129752,,0.000000,false,immigration
969e5073f005d08202f28c92,race-7ecc5bf058cba323d432,Kendal Gray,2025-03-04,opponent,By mandating this fee we can ensure that we have more cadet classes for our law enforcement officers and fire and ems.,https://kendalgray.org/crime,sentence-transformers/all-MiniLM-L6-v2,cpu,6,Education,0.221489,12,"Law, crime and justice",0.197113,0.024376,,0.000000,false,public_safety
0d39fbccc50c82a794071e5c,race-aed8879df9fbc709db76,Andrew Yang,2020-03-03,opponent,"Andrew would implement the Freedom Dividend, a universal basic income of $1,000/month, $12,000 a year, for every American adult over the age of 18.",https://2020.yang2020.com/policies/the-freedom-dividend/,sentence-transformers/all-MiniLM-L6-v2,cpu,13,Social welfare,0.235436,1,Macroeconomics,0.155462,0.079974,,0.000000,false,tax_budget
9173fa7baaa747fbf60a2384,race-ef20ff0afae6a0db133a,Evan MacKay,2024-09-03,endorsed,We are no closer to building social housing or passing rent control and needed tenant protections.,https://www.progressivemass.com/wp-content/uploads/2024/06/Evan-MacKay_2024-PM-Legislative-Questionnaire.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.412520,13,Social welfare,0.224104,0.188415,14,1.341641,true,housing
61ea859ed956071e10979759,race-d3d54e895ad132bafc82,Emily Myers,2019-08-06,opponent,We must allow housing options like duplexes and triplexes citywide and we must build public housing with progressive revenue.,https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Emily_Myers_Candidate_Council_District_4,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.502960,10,Transportation,0.368780,0.134180,1,0.447214,false,housing
2a03a248db2c583f5dec0e82,race-b72c70764e7173f3e7b1,Sarah Bacon,2026-06-02,opponent,"To restore accountability, we must start by banning congressional stock trading, closing the revolving door, making government transparent and accountable to the public.",https://www.sarahbacon.com/sarah-bacon-for-congress-launch-press-release-ca24.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,15,"Business, commerce and consumers",0.285343,12,"Law, crime and justice",0.277628,0.007715,,0.000000,false,democracy
bf44751865e98d2353f6c240,race-d3d54e895ad132bafc82,Shaun Scott,2019-08-06,endorsed,A compassionate City is one that builds enough deeply affordable housing for those already here and for those on the way.,https://archive.org/details/sc21wa-2019_City_of_Seattle_Primary_Video_Voters_Guide_-_Shaun_Scott_Candidate_Council_District_4,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.328011,13,Social welfare,0.279420,0.048591,14,0.447214,true,housing
bd0d862f0985ff3c435e3344,race-aed8879df9fbc709db76,Tom Steyer,2020-03-03,opponent,This is still a fossil-fuel-driven economy. We need to make a change.,https://www.cbsnews.com/news/tom-steyer-talks-climate-change-and-foreign-policy-on-tour-of-iowa/,sentence-transformers/all-MiniLM-L6-v2,cpu,8,Energy,0.388348,7,Environment,0.287483,0.100865,,0.000000,false,climate_energy
f1f02b9142bb1e35c6d2b780,race-3b2b88f146005f2e7e13,Aidan Sova,2026-08-04,opponent,"Now, I’m running for Ann Arbor City Council because our city deserves high-quality services, expanded housing, and reliable transportation options.",https://www.voteaidansova.com/,sentence-transformers/all-MiniLM-L6-v2,cpu,10,Transportation,0.297710,14,Housing and community development,0.254180,0.043530,10,0.447214,true,housing
3b8a2464c00aa4380e3ed2de,race-5db7edca6b190a1d4c39,Art Lloyd,2022-06-21,opponent,I would propose a special investigating squad to seek out those bringing in guns and or ammunition to D.C. and set the penalties maximum of 10 years with no parole.,https://patch.com/district-columbia/washingtondc/candidate-profile-art-lloyd-city-council-ward-5,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.333095,16,Defense and veterans,0.131332,0.201763,,0.000000,false,public_safety
4a9ee554260ebac9b042a973,race-9d81c90e4175cd261dc2,Max Socol,2022-07-19,endorsed,We must take measures to control the price of housing by preserving and producing units of affordable housing with rent stabilization and investments in mixed income social housing.,https://www.baltimoresun.com/2022/05/18/2022-voter-guide-max-socol-candidate-for-maryland-senate-district-18/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.531487,13,Social welfare,0.325785,0.205702,14,0.894427,true,housing
a5ed6eaddc84b43068a308bb,race-70d6e7aea0a07570e2a8,Aisha Moe,2020-08-11,opponent,"Instead of putting all this pressure on our police force, what we need to be doing is sort of taking the pressure away so they can focus on keeping our communities safe and doing that in the very specific way that they know how to.",https://www.channel3000.com/news/politics/elections/meet-the-candidates-for-wisconsin-s-senate-district-26/article_58d97a7c-e446-5094-bad2-7c21fe8fcc84.html,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.381669,14,Housing and community development,0.200025,0.181645,12,0.447214,true,public_safety
19e61659757bdb7afa1a1dc2,race-1ebf8dc775ced8d30b89,Armando “Mando” Perez-Serrato,2024-03-05,opponent,"Mando will provide STUDENTS with more money for school by increasing Financial Aid Funding. Plus, the development of a new K-14 Public Education System that includes the first two years of Community College or Trade School, along with Integrated Federally Funded Child Daycare Program within Elementary Schools.",https://vigarchive.sos.ca.gov/2024/primary/candidates/president/president-dem-cand-statements.htm,sentence-transformers/all-MiniLM-L6-v2,cpu,6,Education,0.366031,14,Housing and community development,0.200483,0.165548,6,0.894427,true,education
67c58c738b5ac93ac9ef59b6,race-7ecc5bf058cba323d432,Theresa Mitchell Dudley,2025-03-04,opponent,"Why build houses and there is no room for the children in our schools? Adequate Public Facilities should mean County schools, police, fire, the health department and other agencies are able to provide a safe place to live, work, and do business. We must require adequate public facilities before a new development is built.",https://www.princegeorgescountymd.gov/sites/default/files/media-document/Theresa%20Dudley%20Statement%20of%20Qualifications.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.418347,6,Education,0.347452,0.070895,12,0.447214,false,housing
c705830891c6719ea3262a4f,race-0b902d615156cfc70e34,Miguel Trindade Deramo,2026-06-16,opponent,"Everyone deserves to feel safe: I want to reestablish trust between the community and MPD, refocus MPD on community-oriented policing, and invest in violence interruption programs that work.",https://wtop.com/dc-election/2026/06/get-to-know-ward-1-dc-council-candidate-miguel-trindade-deramo/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.337515,14,Housing and community development,0.238699,0.098816,,0.000000,false,public_safety
8dad7e05e54416be943894ab,race-a493243e3fd4b72b829f,"Vincent Orange (""VO"")",2026-06-16,opponent,"My top priorities are public safety, fiscal stability, and economic opportunity. First, restore public safety by increasing MPD staffing and strengthening prevention.",https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-vincent-orange/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.407982,7,Environment,0.390310,0.017672,,0.000000,false,public_safety
bc7808fa58ce5c2921ae4bf1,race-ac18370d47435bd68552,Bradley Nemo Callaway,2026-08-04,endorsed,"Healthcare is a human right. I’ll work with allies in the legislature to pass the Washington health trust – universal, single payer, nonprofit health coverage for every state resident.",https://noroly.chapters.dsausa.org/wp-content/uploads/2026/06/campaign-one-pager-two-sided.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.425032,13,Social welfare,0.318948,0.106084,3,0.447214,true,healthcare
372dd7d0c3d5aad25375e41f,race-5db7edca6b190a1d4c39,Faith Gibson Hubbard,2022-06-21,opponent,"Issues such as the increasing cost of housing, a need for community-centered development, environmental justice; increasing issues of safety (both gun violence and safe streets); addressing the unmet needs of our community and lingering impact of trauma; access to equitable city services; access to high-quality educational options from birth throughout life; and so much more.",https://www.dcwomeninpolitics.org/2022_faith_gibson_hubbard,sentence-transformers/all-MiniLM-L6-v2,cpu,23,"Culture, family and social issues",0.586793,14,Housing and community development,0.501174,0.085619,12,0.447214,false,housing
884e70a322af4d57544404db,race-008359a3ae2f818fb2a9,Shondrell Perrilloux,2024-11-05,opponent,"Seal the border, and stop the illegal migrant invasion.",https://www.ballotready.org/people/shondrell-perrilloux-e1eb2e28-ced3-4693-bffd-d097f38e953a,sentence-transformers/all-MiniLM-L6-v2,cpu,9,Immigration,0.371254,7,Environment,0.194539,0.176715,9,0.447214,true,immigration
d7363f7dce7364cecd2d1eb7,race-771aff796d89fe4ec1df,"Robert ""Bob"" Murrell",2025-10-11,endorsed,Encourage and help facilitate tenant union organizing,https://www.bob4districta.com/platform,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.313588,5,Labor and employment,0.238579,0.075010,5,0.447214,false,housing
