race_id,question_id,question,topic,endorsed_candidate,other_democrat,endorsed_option,other_option,code_relationship,endorsed_explanation,other_explanation,caveats,interpretation_limit
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Andrew M. Cuomo,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""","“We will expand bike lanes for ordinary New Yorkers where possible, balanced against concerns about congestion and dangerous use of e-bikes.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Brad Lander,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",Lander said he'd carry out the requirements of Local Law 195 and exceed its mandate for 150 miles of protected bus lanes and 250 miles of protected bike lanes.,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Zellnor Myrie,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Jessica Ramos,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",Ramos said she'd carry out the requirements of Local Law 195 and exceed its mandate for 150 miles of protected bus lanes and 250 miles of protected bike lanes.,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Scott M. Stringer,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",“Protected bike lanes are one of the most important improvements we can make to our streets.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Whitney R. Tilson,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Adrienne E. Adams,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Michael Blake,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,“The containerization program does not accommodate for the unique context of NYC’s neighborhoods.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Andrew M. Cuomo,Promote containerization for all residential buildings,"Following the test pilot, roll out standardized containerization for larger buildings but reverse the requirement for small properties",different_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Brad Lander,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,"Lander supports containerization but wants to ensure “big trash bins go in the curb lane instead of the sidewalk, preserving pedestrian space and access.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Zellnor Myrie,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,"Myrie called containerization “a step in the right direction” but said we must watch out for quality-of-life impacts: “For example, if trash containers are blocking our sidewalks, we should amend our approach.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Jessica Ramos,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,"“Making sure that we are putting forth a system that allows everybody — both residential and commercial — to be able to compost our organic waste, to be able to recycle, to be able to throw away landfill trash, and educate people in that way, is really really important and the only way we're going to be able to keep our streets clean.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Scott M. Stringer,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,“My sanitation plan is designed to bring New York City’s waste management into the 21st century – by incorporating composting and rat-proof containers – and dealing with the piles of trash that litter our streets and attract rodents.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question3,Do you support trash containerization?,Streets,Zohran Kwame Mamdani,Whitney R. Tilson,Promote containerization for all residential buildings,Promote containerization for all residential buildings,same_publisher_option,Mamdani says the containerization program should be expanded to also require recycling to be placed in on-street containers for pickup.,Tilson has suggested “incentivizing compliance” with “tax incentives or subsidies for buildings that adopt modernized trash solutions quickly.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Adrienne E. Adams,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Maintain roughly the current size of the police force and focus enforcement on serious crimes,same_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“We've got vacancies of at least 2,400 vacancies right now in the NYPD. So, what makes sense to me as mayor is to fill those vacancies before we do anything else.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Michael Blake,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Maintain roughly the current size of the police force and focus enforcement on serious crimes,same_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.",“We need to recruit more and also empower them to be able to do jobs honorably with respect.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Andrew M. Cuomo,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Increase the size of the police force and ramp up enforcement of quality-of-life violations as well as more serious crimes,different_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“We need more police in our subways, more police in our high crime areas, more police to stop the number of recidivists.” Cuomo wants to increase the NYPD by 5,000 officers, or 15%, bringing the force to approximately 39,000.",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Brad Lander,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Maintain roughly the current size of the police force and focus enforcement on serious crimes,same_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“Budgeted headcount right now is 35,000. We only have 33,500, and it's trended down because, in 2005, we hired about 4,000 officers and a lot of them are going to retire this year. So I want to get back to that 35,000.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Zellnor Myrie,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Increase the size of the police force and ramp up enforcement of quality-of-life violations as well as more serious crimes,different_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“I want to restore our headcount for the NYPD to pre-pandemic levels, where we saw crime at its lowest in the city's history.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Jessica Ramos,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Maintain roughly the current size of the police force and focus enforcement on serious crimes,same_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“There's policing of the streets, but also there's just an education of the population in terms of conflict resolution and other things.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Scott M. Stringer,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Increase the size of the police force and ramp up enforcement of quality-of-life violations as well as more serious crimes,different_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“We're going to hire 3,000 more cops — because we've been at the lowest level of policing in many years — and we're also going to, for the first time, align policing with the greatest mental health initiative this city will ever see.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question4,Which statement best reflects your preferred approach to policing?,Public Safety,Zohran Kwame Mamdani,Whitney R. Tilson,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Increase the size of the police force and ramp up enforcement of quality-of-life violations as well as more serious crimes,different_publisher_option,"“My administration will create the Department of Community Safety to prevent violence before it happens,"" through mental health outreach and gun violence prevention. He also vows to disband the NYPD Strategic Response Group.","“We're at a 34-year low, in terms of the number of police officers, they're understaffed, and we need to rebuild that.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Adrienne E. Adams,Do not issue summonses for fare nonpayment,Fewer summonses for violators — enforcement is too aggressive,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","“Maintain summons enforcement with greater equity that no longer employs disproportionally aggressive policing of only communities of color when fare evasion exists more broadly. Enforce summonses for those who can afford to pay and provide a better way for New Yorkers unable to afford the fare to access the Fair Fares discounted fare program, with an opportunity to avoid fines they are unlikely to pay through demonstrated good behavior of no further fare evasion.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Michael Blake,Do not issue summonses for fare nonpayment,Fewer summonses for violators — enforcement is too aggressive,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”",,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Andrew M. Cuomo,Do not issue summonses for fare nonpayment,Consistent summonses for violators — maintain or expand fare enforcement,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”",Cuomo's subway safety plan states that he'd like to hire some 500 additional MTA officers to monitor turnstiles and reduce fare evasion.,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Brad Lander,Do not issue summonses for fare nonpayment,Consistent summonses for violators — maintain or expand fare enforcement,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","“The best long-term solution is to install new turnstiles, like those in Paris and Amsterdam, that prevent fare evasion, and to expand half-priced Fair Fares for low-income, students, and seniors.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Zellnor Myrie,Do not issue summonses for fare nonpayment,Consistent summonses for violators — maintain or expand fare enforcement,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","Myrie supports escalating consequences for repeat offenders. ""This is a straightforward thing. People should pay the fare. If you ask anyone, you walk across Flatbush Avenue, Fordham Road, Utica Avenue, say should you pay the fare? Yes, people should pay the fare.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Jessica Ramos,Do not issue summonses for fare nonpayment,Consistent summonses for violators — maintain or expand fare enforcement,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","Ramos wants to ensure “that more and more people who really do need the help are able to get it and so that we can do away with this culture of those who are able to pay the fare, but simply aren't doing it because they feel that too many aren't doing it, so why should I?”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Scott M. Stringer,Do not issue summonses for fare nonpayment,Fewer summonses for violators — enforcement is too aggressive,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","“The solution isn’t enforcement, it's accessibility,"" says Stringer, citing the existing ""fair fares"" program for low-income riders. “By implementing this system throughout our transit, the number of fare violations will decrease and further enforcement won’t be necessary.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5,How should the NYPD enforce transit fares?,Public Safety,Zohran Kwame Mamdani,Whitney R. Tilson,Do not issue summonses for fare nonpayment,Consistent summonses for violators — maintain or expand fare enforcement,different_publisher_option,"“Only a third of the almost one million adult New Yorkers who are eligible access Fair Fares. At its core, this is an economic crisis, and we must address it as such.”","“We’ve got to enforce the smaller, quality-of-life crimes — like the turnstile jumping — that are leading to the more serious crimes.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Adrienne E. Adams,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely",,no_coded_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,"“Everyone has acknowledged the plan is delayed and will go beyond 2027, partially because the current mayor has failed to follow-through on the necessary steps to advance the plan. The Independent Rikers Commission's plan should be followed with better leadership from the mayor's office. We must safely reduce the inflated population by creating the mental health infrastructure that helps move the approximately half of those on Rikers with mental illness to more appropriate settings, while working with DAs and the courts to resolve delays in case processing times.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Michael Blake,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely",same_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Andrew M. Cuomo,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Pause planning for jails still in the design phase, work with the City Council to reinvest in Rikers facilities",different_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,“We need to face the facts that the new borough jails will not be completed in time to close Rikers by 2027. We need to stop massive budget overruns and develop an interim plan for the operation of Rikers while we do an overall assessment of what the right pathway forward should be.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Brad Lander,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely",same_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,"“We can end the humanitarian disaster that is Rikers by following the Lippmann Commission 2.0 recommendations, including new secure treatment beds and ensuring timely trials.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Zellnor Myrie,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely",same_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,"“What currently exists at Rikers is wholly unacceptable, and we should all be ashamed of this.”","The cited podcast date says December2025 despite the June2025 data commit. Preserve the publisher record, but do not independently certify that reference's chronology.",Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Jessica Ramos,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely",same_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Scott M. Stringer,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with the City Council to keep a Rikers facility open to maintain continued capacity",different_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,"“Rikers isn’t just broken – it's a moral failure. It needs to be shut down, and we must transition to a borough-based prison system. However, that will take time that the current incarcerated people at Rikers don’t have.... We must improve the conditions at Rikers and invest in the rehabilitation of the people currently there while moving towards closing the facility.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question5a,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,Public Safety,Zohran Kwame Mamdani,Whitney R. Tilson,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with the City Council to keep a Rikers facility open to maintain continued capacity",different_publisher_option,Mamdani committed to closing Rikers and pointed to a need to invest in alternatives for incarceration.,"“If you shrink it, and you take two-thirds or three-fourths of the people at Rikers, put them in the borough-based jails, you can then tear down the dilapidated old buildings at Rikers.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
